11:13:51.262 [main] INFO  com.TestPack.TestClass - URL launched
11:13:51.461 [main] INFO  com.TestPack.TestClass - Logging in
11:13:52.650 [main] INFO  com.TestPack.TestClass - endToEnd started
11:13:59.623 [main] INFO  com.TestPack.TestClass - Logging in
11:14:00.246 [main] INFO  com.TestPack.TestClass - testCase1 started
11:14:01.848 [main] INFO  com.TestPack.TestClass - Logging in
11:14:02.396 [main] INFO  com.TestPack.TestClass - testCase3 started
11:14:04.173 [main] INFO  com.TestPack.TestClass - Logging in
11:14:04.562 [main] INFO  com.TestPack.TestClass - testCase4 started
11:14:28.364 [main] INFO  com.TestPack.TestClass - Logging in
11:14:28.761 [main] INFO  com.TestPack.TestClass - testCase5 started
11:14:30.377 [main] INFO  com.TestPack.TestClass - Quitting browser
11:14:34.290 [main] INFO  com.TestPack.LoginPage - URL launched
11:14:34.294 [main] INFO  com.TestPack.LoginPage - TC_001 started
11:14:34.361 [main] INFO  com.TestPack.LoginPage - TC_002 started
11:14:34.400 [main] INFO  com.TestPack.LoginPage - TC_003 started
11:14:34.434 [main] INFO  com.TestPack.LoginPage - TC_006 started
11:14:34.474 [main] INFO  com.TestPack.LoginPage - TC_007 started
11:14:34.501 [main] INFO  com.TestPack.LoginPage - TC_010 started
11:14:34.533 [main] INFO  com.TestPack.LoginPage - TC_001 started
11:14:34.560 [main] INFO  com.TestPack.LoginPage - TC_014 started
11:14:34.590 [main] INFO  com.TestPack.LoginPage - TC_015 started
11:14:34.622 [main] INFO  com.TestPack.LoginPage - Quitting browser
